1.384,0.394,53.071
1.393,0.406,53.875
1.401,0.418,55.430
1.410,0.431,55.822
1.418,0.443,55.572
1.427,0.456,55.572
1.435,0.468,57.385
1.443,0.481,58.314
1.450,0.494,59.189
1.458,0.507,60.387
1.465,0.520,60.809
1.472,0.533,62.683
1.479,0.547,62.753
1.486,0.560,63.015
1.492,0.573,63.390
1.499,0.587,64.381
1.505,0.601,65.818
1.511,0.615,67.203
1.516,0.628,68.078
1.522,0.642,68.890
1.527,0.657,70.265
1.532,0.671,71.640
1.536,0.685,74.261
1.539,0.700,76.947
1.542,0.715,78.135
1.545,0.729,79.015
1.547,0.744,81.566
1.549,0.759,82.503
1.551,0.774,83.252
1.553,0.789,83.702
1.554,0.804,84.827
1.555,0.819,85.888
1.556,0.834,87.013
1.556,0.849,89.515
1.556,0.864,90.880
1.555,0.879,92.066
1.554,0.894,94.250
1.553,0.909,94.873
1.551,0.923,95.185
1.550,0.938,95.247
1.549,0.953,95.318
1.547,0.968,95.253
1.546,0.983,95.373
1.544,0.998,95.622
1.543,1.013,95.815
1.541,1.028,96.184
1.540,1.043,96.559
1.538,1.058,96.747
1.536,1.073,96.809
1.534,1.088,96.747
1.532,1.102,96.754
1.531,1.117,96.879
1.529,1.132,97.572
1.527,1.147,98.009
1.524,1.162,99.759
1.521,1.177,100.822
1.518,1.191,102.947
1.514,1.206,104.135
1.510,1.220,105.140
1.506,1.235,107.578
1.501,1.249,108.765
1.496,1.263,110.078
1.490,1.277,111.328
1.485,1.291,112.640
1.478,1.304,113.953
1.472,1.318,115.328
1.465,1.331,116.703
1.458,1.345,117.953
1.451,1.358,119.390
1.443,1.371,120.815
1.435,1.383,122.314
1.427,1.396,123.502
1.418,1.408,124.638
1.410,1.420,125.444
1.401,1.432,127.761
1.391,1.444,129.765
1.381,1.455,131.015
1.371,1.466,132.265
1.361,1.477,133.640
1.350,1.488,135.078
1.339,1.498,136.390
1.328,1.508,139.015
1.316,1.517,140.265
1.304,1.526,143.007
1.292,1.535,144.252
1.280,1.544,145.128
1.267,1.552,145.751
1.255,1.560,146.939
1.242,1.568,147.254
1.230,1.576,148.140
1.217,1.584,149.133
1.203,1.591,151.820
1.190,1.598,153.199
1.177,1.604,154.066
1.163,1.611,155.121
1.149,1.617,156.132
